Unnamed: 0.1,index,Unnamed: 0,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column,alpha,beta
7632,4217,8034,O=C(N[C@@H]1Cc2ccccc2OC1=O)c3ccccc3,11.3,1.0,0.2,10.1002/anie.202110286,OD,1.4601769911504423,1.6190476190476188
7633,4217,8033,O=C(N[C@H]1Cc2ccccc2OC1=O)c3ccccc3,16.5,1.0,0.2,10.1002/anie.202110286,OD,1.4601769911504423,1.6190476190476188
7664,4237,8069,CCC[C@@H](Nc1ccc(OC)cc1)C(=O)Oc2ccccc2,9.9,1.0,0.05,10.1021/jacs.0c07210,OD,1.1414141414141414,1.2
7665,4237,8070,CCC[C@H](Nc1ccc(OC)cc1)C(=O)Oc2ccccc2,11.3,1.0,0.05,10.1021/jacs.0c07210,OD,1.1414141414141414,1.2
7692,4259,8105,BrC[C@H](c1ccccc1)c2cc(cc(c2)c3ccccc3)c4ccccc4,8.78,1.0,0.01,10.1021/jacs.0c09125,OD,1.2927107061503418,1.4370748299319729
7693,4259,8106,BrC[C@@H](c1ccccc1)c2cc(cc(c2)c3ccccc3)c4ccccc4,11.35,1.0,0.01,10.1021/jacs.0c09125,OD,1.2927107061503418,1.4370748299319729
7716,4273,8131,COc1cccc(c1)[C@@H](C)c2ccc(Cl)nc2,10.14,1.0,0.05,10.1021/jacs.0c09125,OD,1.1232741617357005,1.1726519337016574
7717,4273,8132,COc1cccc(c1)[C@H](C)c2ccc(Cl)nc2,11.39,1.0,0.05,10.1021/jacs.0c09125,OD,1.1232741617357005,1.1726519337016574
7722,4277,8138,C[C@H](CCN1C(=O)c2ccccc2C1=O)c3cccc4ccccc34,10.5,0.8,0.1,10.1002/ntls.10021,OD,1.085714285714286,1.130909090909091
7723,4277,8139,C[C@@H](CCN1C(=O)c2ccccc2C1=O)c3cccc4ccccc34,11.4,0.8,0.1,10.1002/ntls.10021,OD,1.085714285714286,1.130909090909091
7816,4337,8245,Cc1[nH]c(cc1)[C@@](C)(c2cscc2)c3ccc(O)cc3,10.1,1.0,0.1,10.1002/anie.201506701,OD,1.1386138613861387,1.1944444444444444
7817,4337,8246,Cc1[nH]c(cc1)[C@](C)(c2cscc2)c3ccc(O)cc3,11.5,1.0,0.1,10.1002/anie.201506701,OD,1.1386138613861387,1.1944444444444444
8000,4449,8449,C(C[C@]1(CC=CC=C1)c2ccccc2)c3cc(cc(c3)c4ccccc4)c5ccccc5,7.28,1.0,0.02,10.1021/jacs.0c09125,OD,1.596153846153846,1.9908675799086752
8001,4449,8450,C(C[C@@]1(CC=CC=C1)c2ccccc2)c3cc(cc(c3)c4ccccc4)c5ccccc5,11.62,1.0,0.02,10.1021/jacs.0c09125,OD,1.596153846153846,1.9908675799086752
8164,4546,8628,CC(C)C[C@@H]1N[S](=O)(=O)c2ccccc2C(=C1)C=Cc3cccc(C)c3,9.4,1.0,0.1,10.1038/s41467/018/04645/3,OD,1.25531914893617,1.3692307692307693
8165,4546,8629,CC(C)C[C@H]1N[S](=O)(=O)c2ccccc2C(=C1)C=Cc3cccc(C)c3,11.8,1.0,0.1,10.1038/s41467/018/04645/3,OD,1.25531914893617,1.3692307692307693
8876,4978,9416,COc1ccc(cc1)[C@@H](N[S](=O)(=O)c2ccc(C)cc2)C(C)(C)C,10.2,1.0,0.07,10.1038/s41467/018/07462/w,OD,1.2352941176470589,1.3287671232876714
8877,4978,9417,COc1ccc(cc1)[C@H](N[S](=O)(=O)c2ccc(C)cc2)C(C)(C)C,12.6,1.0,0.07,10.1038/s41467/018/07462/w,OD,1.2352941176470589,1.3287671232876714
9048,5078,9602,CCCC[C@@H]1N[S](=O)(=O)c2ccccc2C(=C1)C=Cc3ccc(C)c(C)c3,10.0,1.0,0.1,10.1038/s41467/018/04645/3,OD,1.28,1.3943661971830987
9049,5078,9603,CCCC[C@H]1N[S](=O)(=O)c2ccccc2C(=C1)C=Cc3ccc(C)c(C)c3,12.8,1.0,0.1,10.1038/s41467/018/04645/3,OD,1.28,1.3943661971830987
9358,5264,9944,Clc1ccc2C[C@@H](NC(=O)c3ccccc3)C(=O)Oc2c1,13.1,1.0,0.2,10.1002/anie.202110286,OD,1.6030534351145038,1.774509803921569
9359,5264,9943,Clc1ccc2C[C@H](NC(=O)c3ccccc3)C(=O)Oc2c1,21.0,1.0,0.2,10.1002/anie.202110286,OD,1.6030534351145038,1.774509803921569
9476,5332,10070,CCCC[C@@H]1N[S](=O)(=O)c2ccccc2C(=C1)C=Cc3cccc(C)c3,10.5,1.0,0.1,10.1038/s41467/018/04645/3,OD,1.2666666666666668,1.368421052631579
9477,5332,10071,CCCC[C@H]1N[S](=O)(=O)c2ccccc2C(=C1)C=Cc3cccc(C)c3,13.3,1.0,0.1,10.1038/s41467/018/04645/3,OD,1.2666666666666668,1.368421052631579
9616,5416,10224,CN1C(=O)[C@]2(C(=O)N(Cc3ccccc3)c4ccccc24)c5cccc(C)c15,9.93,1.0,0.3,10.1002/anie.201309967,OD,1.3575025176233635,1.5049786628734
9617,5416,10225,CN1C(=O)[C@@]2(C(=O)N(Cc3ccccc3)c4ccccc24)c5cccc(C)c15,13.48,1.0,0.3,10.1002/anie.201309967,OD,1.3575025176233635,1.5049786628734
9784,5521,10413,C[C@@H](CCN1C(=O)c2ccccc2C1=O)c3ccc4OCOc4c3,12.7,0.8,0.1,10.1002/ntls.10021,OD,1.078740157480315,1.1101928374655647
9785,5521,10414,C[C@H](CCN1C(=O)c2ccccc2C1=O)c3ccc4OCOc4c3,13.7,0.8,0.1,10.1002/ntls.10021,OD,1.078740157480315,1.1101928374655647
9862,5569,10500,COC(=O)[C@@H](C)Nc1ccc(OC)cc1,11.8,1.0,0.05,10.1021/jacs.0c07210,OD,1.1694915254237288,1.2247191011235954
9863,5569,10501,COC(=O)[C@H](C)Nc1ccc(OC)cc1,13.8,1.0,0.05,10.1021/jacs.0c07210,OD,1.1694915254237288,1.2247191011235954
9888,5584,10529,C[C@]1(C(=O)Oc2ccccc2)C(=O)Oc3ccc4ccccc4c13,13.8,0.5,0.1,10.1039/C3CC47455K,OD,1.123188405797101,1.2125
9889,5584,10528,C[C@@]1(C(=O)Oc2ccccc2)C(=O)Oc3ccc4ccccc4c13,15.5,0.5,0.1,10.1039/C3CC47455K,OD,1.123188405797101,1.2125
