Unnamed: 0.1,index,Unnamed: 0,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column,alpha,beta
16640,9752,18073,CC[C@H](C#Cc1ccc(C=O)cc1)c2ccccc2,28.29,0.3,0.005,10.1002/anie.202006317,ASH,1.1032166843407565,1.1567925541435475
16641,9752,18072,CC[C@@H](C#Cc1ccc(C=O)cc1)c2ccccc2,31.21,0.3,0.005,10.1002/anie.202006317,ASH,1.1032166843407565,1.1567925541435475
16644,9754,18076,COc1ccc2N(CC=C)C(=O)[C@@](CC=O)(C(C(=O)OCc3ccccc3)C(=O)OCc4ccccc4)c2c1,19.67,0.8,0.3,10.1002/chem.201300977,ASH,1.438739196746314,1.5378622623870364
16645,9754,18077,COc1ccc2N(CC=C)C(=O)[C@](CC=O)(C(C(=O)OCc3ccccc3)C(=O)OCc4ccccc4)c2c1,28.3,0.8,0.3,10.1002/chem.201300977,ASH,1.438739196746314,1.5378622623870364
16738,9809,18179,C[C](C[C@@H](c1ccccc1)c2cccc(Br)c2)=[C]3C(=O)O[C](C)(C)OC3=O,28.6,1.0,0.05,10.1039/C8CC00493E,ASH,1.2132867132867131,1.2373540856031129
16739,9809,18178,C[C](C[C@H](c1ccccc1)c2cccc(Br)c2)=[C]3C(=O)O[C](C)(C)OC3=O,34.7,1.0,0.05,10.1039/C8CC00493E,ASH,1.2132867132867131,1.2373540856031129
16768,9827,18212,O=C1CC[C@@H]1Cc2cccc3ccccc23,28.8,0.5,0.01,10.1002/CJOC.201800088,ASH,1.1944444444444444,1.2434782608695651
16769,9827,18211,O=C1CC[C@H]1Cc2cccc3ccccc23,34.4,0.5,0.01,10.1002/CJOC.201800088,ASH,1.1944444444444444,1.2434782608695651
16784,9837,18229,COc1ccc2sc(SC[C@](O)(CO)c3ccccc3)nc2c1,19.8,1.0,0.2,10.1002/anie.201300188,ASH,1.4595959595959596,1.5384615384615383
16785,9837,18230,COc1ccc2sc(SC[C@@](O)(CO)c3ccccc3)nc2c1,28.9,1.0,0.2,10.1002/anie.201300188,ASH,1.4595959595959596,1.5384615384615383
16826,9864,18278,OC[C@@H](CCl)n1ccc2cc(Br)ccc12,29.1,1.0,0.05,10.1002/anie.201601844,ASH,1.0584192439862543,1.0648854961832062
16827,9864,18277,OC[C@H](CCl)n1ccc2cc(Br)ccc12,30.8,1.0,0.05,10.1002/anie.201601844,ASH,1.0584192439862543,1.0648854961832062
16830,9866,18282,Cc1ccc(cc1)[S](=O)(=O)N(CCc2c[nH]c3ccccc23)[C@H]4N(c5cc(C)c(C)cc5C4=C)[S](=O)(=O)C(F)(F)F,29.1,0.8,0.1,10.1002/anie.201904805,ASH,1.2989690721649485,1.341511285574092
16831,9866,18281,Cc1ccc(cc1)[S](=O)(=O)N(CCc2c[nH]c3ccccc23)[C@@H]4N(c5cc(C)c(C)cc5C4=C)[S](=O)(=O)C(F)(F)F,37.8,0.8,0.1,10.1002/anie.201904805,ASH,1.2989690721649485,1.341511285574092
16890,9903,18349,O=C1Nc2ccccc2[C@@]13CCN(C3)C(=O)OCC4c5ccccc5c6ccccc46,29.4,1.0,0.2,10.1002/anie.202015175,ASH,1.261904761904762,1.2905660377358492
16891,9903,18348,O=C1Nc2ccccc2[C@]13CCN(C3)C(=O)OCC4c5ccccc5c6ccccc46,37.1,1.0,0.2,10.1002/anie.202015175,ASH,1.261904761904762,1.2905660377358492
16910,9916,18371,OC[C@@H]1COC2(CCSCC2)c3ccccc3O1,27.1,1.0,0.03,10.1021/acs.orglett.9b04244,ASH,1.088560885608856,1.0991735537190082
16911,9916,18372,OC[C@H]1COC2(CCSCC2)c3ccccc3O1,29.5,1.0,0.03,10.1021/acs.orglett.9b04244,ASH,1.088560885608856,1.0991735537190082
17002,9973,18474,Cc1ccc(cc1)[S](=O)(=O)N2C[C@H](Oc3c(C)cccc3C2=O)C=C,20.59,1.0,0.1,10.1021/acscatal.1c04541,ASH,1.454103933948519,1.5285472018089317
17003,9973,18475,Cc1ccc(cc1)[S](=O)(=O)N2C[C@@H](Oc3c(C)cccc3C2=O)C=C,29.94,1.0,0.1,10.1021/acscatal.1c04541,ASH,1.454103933948519,1.5285472018089317
17108,10041,18595,F[C@H](CCc1ccccc1)C(=O)Nc2ccccc2,25.4,1.0,0.05,10.1002/anie.201409961,ASH,1.188976377952756,1.2133333333333334
17109,10041,18596,F[C@@H](CCc1ccccc1)C(=O)Nc2ccccc2,30.2,1.0,0.05,10.1002/anie.201409961,ASH,1.188976377952756,1.2133333333333334
17154,10075,18653,CN(C)CCCN1C(=O)[C@@H](Cc2ccccc2)Oc3ccccc13,30.4,0.3,0.03,10.1021/acs.orglett.1c01701,ASH,1.1282894736842104,1.1881028938906752
17155,10075,18652,CN(C)CCCN1C(=O)[C@H](Cc2ccccc2)Oc3ccccc13,34.3,0.3,0.03,10.1021/acs.orglett.1c01701,ASH,1.1282894736842104,1.1881028938906752
17298,10169,18818,C[C@H](c1cccc(c1)C#N)c2ccc3OCOc3c2,28.15,1.0,0.02,10.1021/acs.organomet.1c00190,ASH,1.1033747779751333,1.1152475247524751
17299,10169,18819,C[C@@H](c1cccc(c1)C#N)c2ccc3OCOc3c2,31.06,1.0,0.02,10.1021/acs.organomet.1c00190,ASH,1.1033747779751333,1.1152475247524751
17324,10187,18849,COc1ccc(cc1)C(/C)=C/C(=O)[C@H](C(C(=O)c2ccccc2)C(=O)c3ccccc3)c4ccc(Br)cc4,25.4,0.6,0.5,10.1002/anie.201105812,ASH,1.2283464566929134,1.2820097244732578
17325,10187,18850,COc1ccc(cc1)C(/C)=C/C(=O)[C@@H](C(C(=O)c2ccccc2)C(=O)c3ccccc3)c4ccc(Br)cc4,31.2,0.6,0.5,10.1002/anie.201105812,ASH,1.2283464566929134,1.2820097244732578
17440,10271,18991,COc1ccc2n(ccc2c1)[C@@H](CO)CSc3sc4ccccc4n3,28.2,1.0,0.1,10.1002/anie.201300188,ASH,1.1347517730496457,1.150197628458498
17441,10271,18992,COc1ccc2n(ccc2c1)[C@H](CO)CSc3sc4ccccc4n3,32.0,1.0,0.1,10.1002/anie.201300188,ASH,1.1347517730496457,1.150197628458498
17476,10294,19032,C[C](C[C@@H](c1ccccc1)c2ccc(Cl)c(Cl)c2)=[C]3C(=O)O[C](C)(C)OC3=O,26.3,1.0,0.05,10.1039/C8CC00493E,ASH,1.2243346007604563,1.252136752136752
17477,10294,19033,C[C](C[C@H](c1ccccc1)c2ccc(Cl)c(Cl)c2)=[C]3C(=O)O[C](C)(C)OC3=O,32.2,1.0,0.05,10.1039/C8CC00493E,ASH,1.2243346007604563,1.252136752136752
17592,10372,19168,O=C1Nc2ccccc2[C@@]13CCOC3,13.1,1.0,0.4,10.1002/anie.202015175,ASH,2.5114503816793894,2.9411764705882355
17593,10372,19169,O=C1Nc2ccccc2[C@]13CCOC3,32.9,1.0,0.4,10.1002/anie.202015175,ASH,2.5114503816793894,2.9411764705882355
17646,10410,19233,N#C[C@@]1(CC2=CC=CC=C2)CCC3=CC(CCCN(C(C4=C5C=CC=C4)=O)C5=O)=CN=C31,28.89,1.0,0.05,10.1002/anie.202105452,ASH,1.1533056420906889,1.1704116968064642
