Unnamed: 0,index,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column
16454,8838,CCCc1ccc(cc1)C#C[C@@H](C)NC(C)=O,21.139,1.0,0.1,10.1002/anie.202106566,IC3
16455,8838,CCCc1ccc(cc1)C#C[C@H](C)NC(C)=O,23.179,1.0,0.1,10.1002/anie.202106566,IC3
16523,8876,C[C@@H](/C=C/c1ccccc1C)[S](=O)(=O)c2ccc(C)cc2,29.52,1.0,0.2,10.1002/anie.202012485,IC3
16524,8876,C[C@H](/C=C/c1ccccc1C)[S](=O)(=O)c2ccc(C)cc2,23.32,1.0,0.2,10.1002/anie.202012485,IC3
16584,8909,C=C[C@@H]([C@H](N=C(c1ccccc1)c2ccccc2)C(=O)NCC(=O)OCc3ccccc3)c4ccccc4,28.5,1.0,0.05,10.1021/jacs.8b00187,IC3
16585,8910,C=C[C@@H]([C@H](N=C(c1ccccc1)c2ccccc2)C(=O)NCC(=O)OCc3ccccc3)c4ccccc4,28.5,1.0,0.05,10.1021/jacs.8b00187,IC3
16620,8931,Cc1cccc(/C=C/[C@@]2(CO)C(=O)N(COCc3ccccc3)c4cccc(Cl)c24)c1,34.8,0.8,0.05,10.31635/ccschem.019.20190064,IC3
16621,8931,Cc1cccc(/C=C/[C@]2(CO)C(=O)N(COCc3ccccc3)c4cccc(Cl)c24)c1,23.6,0.8,0.05,10.31635/ccschem.019.20190064,IC3
16757,9006,C[C@@H](/C=C/c1cccc(C)c1)[S](=O)(=O)c2ccc(C)cc2,31.37,1.0,0.2,10.1002/anie.202012485,IC3
16758,9006,C[C@H](/C=C/c1cccc(C)c1)[S](=O)(=O)c2ccc(C)cc2,23.94,1.0,0.2,10.1002/anie.202012485,IC3
16775,9015,COc1ccc([C@H]2N[S](=O)(=O)Oc3ccccc23)c(F)c1,17.1,1.0,0.1,10.1039/C6CC08759K,IC3
16776,9015,COc1ccc([C@@H]2N[S](=O)(=O)Oc3ccccc23)c(F)c1,24.0,1.0,0.1,10.1039/C6CC08759K,IC3
16828,9044,C[C@@H](NC(C)=O)C#Cc1ccc2ccccc2c1,20.586,1.0,0.1,10.1002/anie.202106566,IC3
16829,9044,C[C@H](NC(C)=O)C#Cc1ccc2ccccc2c1,24.143,1.0,0.1,10.1002/anie.202106566,IC3
16898,9085,C[C@@H](/C=C/c1ccc(F)cc1)[S](=O)(=O)c2ccc(C)cc2,31.98,1.0,0.2,10.1002/anie.202012485,IC3
16899,9085,C[C@H](/C=C/c1ccc(F)cc1)[S](=O)(=O)c2ccc(C)cc2,24.33,1.0,0.2,10.1002/anie.202012485,IC3
16953,9116,COC(=O)[C@@H](Cc1ccc(OC)cc1)OC(=O)c2ccccc2,22.0,1.0,0.05,10.1002/adsc.201800774,IC3
16954,9116,COC(=O)[C@H](Cc1ccc(OC)cc1)OC(=O)c2ccccc2,24.5,1.0,0.05,10.1002/adsc.201800774,IC3
16955,9117,Brc1cccc(c1)[C@H]2N[S](=O)(=O)Oc3ccccc23,26.4,1.0,0.1,10.1039/C6CC08759K,IC3
16956,9117,Brc1cccc(c1)[C@@H]2N[S](=O)(=O)Oc3ccccc23,24.5,1.0,0.1,10.1039/C6CC08759K,IC3
16982,9131,C[C@@H](\C=C\c1ccccc1)[S](=O)(=O)c2ccc(C)cc2,34.22,1.0,0.2,10.1002/anie.202012485,IC3
16983,9131,C[C@H](\C=C\c1ccccc1)[S](=O)(=O)c2ccc(C)cc2,24.59,1.0,0.2,10.1002/anie.202012485,IC3
17174,9242,CC1(C)C[C@@H](N(Cc2ccccc2)C1=O)c3ccc4ccccc4c3,23.1,0.6,0.15,10.1021/acs.orglett.7b00171,IC3
17175,9242,CC1(C)C[C@H](N(Cc2ccccc2)C1=O)c3ccc4ccccc4c3,25.1,0.6,0.15,10.1021/acs.orglett.7b00171,IC3
17332,9334,C[C@H](NNC(=O)c1ccccc1)c2ccc3ccccc3c2,32.297,1.0,0.1,10.1002/anie.201909928,IC3
17333,9334,C[C@@H](NNC(=O)c1ccccc1)c2ccc3ccccc3c2,25.522,1.0,0.1,10.1002/anie.201909928,IC3
17370,9356,Cc1ccc(cc1)[S](=O)(=O)N2N=C(C[C@]2(CCCc3ccccc3)C(C)=O)c4ccccc4,28.8,0.8,0.25,10.1021/jacs.8b02865,IC3
17371,9356,Cc1ccc(cc1)[S](=O)(=O)N2N=C(C[C@@]2(CCCc3ccccc3)C(C)=O)c4ccccc4,25.7,0.8,0.25,10.1021/jacs.8b02865,IC3
17378,9361,CCOC(=O)[C@@](NC(=O)OC(C)(C)C)(OC)C#Cc1ccccc1,29.317,1.0,0.1,10.1038/s41467/022/28002/7,IC3
17379,9361,CCOC(=O)[C@](NC(=O)OC(C)(C)C)(OC)C#Cc1ccccc1,25.71,1.0,0.1,10.1038/s41467/022/28002/7,IC3
17432,9390,C[C@@H](\C=C\c1occc1)[S](=O)(=O)c2ccc(C)cc2,30.51,1.0,0.2,10.1002/anie.202012485,IC3
17433,9390,C[C@H](\C=C\c1occc1)[S](=O)(=O)c2ccc(C)cc2,25.94,1.0,0.2,10.1002/anie.202012485,IC3
17486,9420,C[C@@H](\C=C\c1ccc(C)cc1)[S](=O)(=O)c2ccc(C)cc2,33.96,1.0,0.2,10.1002/anie.202012485,IC3
17487,9420,C[C@H](\C=C\c1ccc(C)cc1)[S](=O)(=O)c2ccc(C)cc2,26.12,1.0,0.2,10.1002/anie.202012485,IC3
17539,9449,C[C@@H](NNC(=O)c1ccccc1)C2CCCCC2,23.752,0.8,0.05,10.1002/ejoc.202100642,IC3
17540,9449,C[C@H](NNC(=O)c1ccccc1)C2CCCCC2,26.234,0.8,0.05,10.1002/ejoc.202100642,IC3
17566,9463,CC[C@H]1C=C2N([C@@H](O)[C@@H]1C)[S](=O)(=O)Oc3cc(Br)ccc23,21.23,0.6,0.07,10.1021/ol502033v,IC3
17701,9541,CC[C@H]1C=C2N([C@@H](O)[C@@H]1C)[S](=O)(=O)Oc3ccc(Br)cc23,15.94,0.7,0.08,10.1021/ol502033v,IC3
17747,9568,COc1ccc(cc1)[C@@H](C)CNC(C)=O,232.5,0.8,0.015,10.1039/c8cc02798f,IC3
17748,9568,COc1ccc(cc1)[C@H](C)CNC(C)=O,260.4,0.8,0.015,10.1039/c8cc02798f,IC3
17770,9581,C[C@@H]1N[S](=O)(=O)Nc2ccccc12,16.3,0.8,0.2,10.1002/anie.201902576,IC3
17771,9581,C[C@H]1N[S](=O)(=O)Nc2ccccc12,27.1,0.8,0.2,10.1002/anie.201902576,IC3
17794,9595,CCOC(=O)[C@]1(CCC(=N1)c2ccccc2)[C@H](OC(C)=O)\C=C\c3cc(Cl)cc(Cl)c3,24.6,1.0,0.05,10.31635/ccschem.021.202101044,IC3
17795,9595,CCOC(=O)[C@@]1(CCC(=N1)c2ccccc2)[C@H](OC(C)=O)\C=C\c3cc(Cl)cc(Cl)c3,27.2,1.0,0.05,10.31635/ccschem.021.202101044,IC3
17802,9599,O=[S]1(=O)N[C@H](c2ccccc2)c3c(O1)ccc4ccccc34,30.7,1.0,0.1,10.1039/C6CC08759K,IC3
17803,9599,O=[S]1(=O)N[C@@H](c2ccccc2)c3c(O1)ccc4ccccc34,27.2,1.0,0.1,10.1039/C6CC08759K,IC3
17820,9608,C[C@@H](\C=C\c1ccccc1)[S](=O)(=O)C2CCCCC2,22.63,1.0,0.2,10.1002/anie.202012485,IC3
17821,9608,C[C@H](\C=C\c1ccccc1)[S](=O)(=O)C2CCCCC2,27.28,1.0,0.2,10.1002/anie.202012485,IC3
17833,9616,C[C@@H](\C=C\c1sccc1)[S](=O)(=O)c2ccc(C)cc2,36.57,1.0,0.2,10.1002/anie.202012485,IC3
17834,9616,C[C@H](\C=C\c1sccc1)[S](=O)(=O)c2ccc(C)cc2,27.34,1.0,0.2,10.1002/anie.202012485,IC3
17877,9642,C[C@@H](NNC(=O)c1ccccc1)c2ccc(C)c(C)c2,20.647,0.8,0.1,10.1002/ejoc.202100642,IC3
17878,9642,C[C@H](NNC(=O)c1ccccc1)c2ccc(C)c(C)c2,27.542,0.8,0.1,10.1002/ejoc.202100642,IC3
17880,9644,C[C@@H](NNC(=O)c1ccccc1)c2ccc3ccccc3c2,21.22,0.8,0.1,10.1002/ejoc.202100642,IC3
17881,9644,C[C@H](NNC(=O)c1ccccc1)c2ccc3ccccc3c2,27.565,0.8,0.1,10.1002/ejoc.202100642,IC3
17955,9686,CC[C@H]1C=C2N([C@@H](O)[C@@H]1C)[S](=O)(=O)Oc3ccccc23,16.31,0.9,0.08,10.1021/ol502033v,IC3
17997,9711,Clc1ccc(cc1)[C@H]2N[S](=O)(=O)Oc3ccccc23,16.4,1.0,0.1,10.1039/C6CC08759K,IC3
17998,9711,Clc1ccc(cc1)[C@@H]2N[S](=O)(=O)Oc3ccccc23,28.0,1.0,0.1,10.1039/C6CC08759K,IC3
18049,9740,Fc1ccc(cc1)[S](=O)(=O)N[C@H](C(=O)OCc2ccccc2)c3ccccc3,22.9,0.6,0.3,10.1021/acs.orglett.9b03452,IC3
18162,9801,Fc1ccc2[C@@H](OC(=O)C(c3ccccc3)c4ccccc4)OC(=O)c2c1,16.9,0.8,0.25,10.1002/anie.202012445,IC3
18163,9801,Fc1ccc2[C@H](OC(=O)C(c3ccccc3)c4ccccc4)OC(=O)c2c1,28.6,0.8,0.25,10.1002/anie.202012445,IC3
18189,9815,CCCC/C=C/[C@H](OC(C)=O)[C@@]1(CCC(=N1)c2ccccc2)C(=O)OCC,17.8,1.0,0.1,10.31635/ccschem.021.202101044,IC3
18236,9841,COc1ccc(CN2[C@H](CC(C)(C)C2=O)c3ccccc3)cc1,25.2,1.0,0.1,10.1021/acs.orglett.7b00171,IC3
18237,9841,COc1ccc(CN2[C@@H](CC(C)(C)C2=O)c3ccccc3)cc1,28.9,1.0,0.1,10.1021/acs.orglett.7b00171,IC3
18260,9854,CC1(C)C[C@@H](N(Cc2ccccc2)C1=O)c3ccc4OCOc4c3,33.1,0.6,0.15,10.1021/acs.orglett.7b00171,IC3
18261,9854,CC1(C)C[C@H](N(Cc2ccccc2)C1=O)c3ccc4OCOc4c3,29.0,0.6,0.15,10.1021/acs.orglett.7b00171,IC3
18268,9859,Fc1ccc2C(=O)O[C@H](OC(=O)C(c3ccccc3)c4ccccc4)c2c1,18.6,0.8,0.25,10.1002/anie.202012445,IC3
18269,9859,Fc1ccc2C(=O)O[C@@H](OC(=O)C(c3ccccc3)c4ccccc4)c2c1,29.1,0.8,0.25,10.1002/anie.202012445,IC3
18294,9873,COc1ccc(CN2[C@H](CC(C)(C)C2=O)c3ccccc3)cc1,25.5,0.6,0.15,10.1021/acs.orglett.7b00651,IC3
18295,9873,COc1ccc(CN2[C@@H](CC(C)(C)C2=O)c3ccccc3)cc1,29.2,0.6,0.15,10.1021/acs.orglett.7b00651,IC3
18298,9875,COc1ccccc1[C@H]2CC(C)(C)C(=O)N2Cc3ccccc3,26.5,0.6,0.15,10.1021/acs.orglett.7b00171,IC3
18299,9875,COc1ccccc1[C@@H]2CC(C)(C)C(=O)N2Cc3ccccc3,29.2,0.6,0.15,10.1021/acs.orglett.7b00171,IC3
18323,9888,OC(=O)[C@H](Cc1ccccc1)Nc2ccccc2,32.2,0.8,0.03,10.1002/anie.201916534,IC3
18324,9888,OC(=O)[C@@H](Cc1ccccc1)Nc2ccccc2,29.3,0.8,0.03,10.1002/anie.201916534,IC3
18331,9892,COc1ccc(cc1)C#C[C@@H](C)NC(C)=O,27.354,1.0,0.1,10.1002/anie.202106566,IC3
18332,9892,COc1ccc(cc1)C#C[C@H](C)NC(C)=O,29.347,1.0,0.1,10.1002/anie.202106566,IC3
18417,9942,O=[S]1(=O)N[C@H](c2ccc(cc2)c3ccccc3)c4ccccc4O1,24.2,1.0,0.1,10.1039/C6CC08759K,IC3
