Unnamed: 0,index,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column
21311,11583,CC[C@@](C(=C)B1OC(C)(C)C(C)(C)O1)(C(=O)c2ccc(cc2)C(C)(C)C)c3ccc(cc3)C#N,5.9,0.8,0.3,10.1021/acscatal.9b02080,IE
21400,11633,O[C@@H]([C@H](C=C)c1ccccc1)C(=O)c2sccc2,43.3,0.5,0.05,10.1021/jacs.6b06156,IE
21401,11634,O[C@@H]([C@H](C=C)c1ccccc1)C(=O)c2sccc2,43.3,0.5,0.05,10.1021/jacs.6b06156,IE
21430,11650,Cc1ccc(cc1)[S](=O)(=O)N[C@H](C(=O)Oc2ccccc2)c3ccccc3,43.0,0.6,0.3,10.1021/acs.orglett.9b03452,IE
21431,11650,Cc1ccc(cc1)[S](=O)(=O)N[C@@H](C(=O)Oc2ccccc2)c3ccccc3,51.3,0.6,0.3,10.1021/acs.orglett.9b03452,IE
21521,11700,CCOC(=O)[C@@]12[C@H](C[C@@H](C)C(=O)N1[S](=O)(=O)c3ccccc23)C(=O)c4ccc(Cl)cc4,45.0,0.6,0.3,10.1007/s11426/021/9989/1,IE
21551,11720,CCC[C@@H](C=C)[C@]1(O)Cc2ccccc2C1=O,37.7,0.5,0.05,10.1021/acs.orglett.7b02577,IE
21560,11726,O=C1N(CC[C@H](Oc2ccc(cc2)c3ccccc3)c4ccccc4)C(=O)c5ccccc15,17.4,0.8,0.15,10.1002/ntls.10021,IE
21561,11726,O=C1N(CC[C@@H](Oc2ccc(cc2)c3ccccc3)c4ccccc4)C(=O)c5ccccc15,54.1,0.8,0.15,10.1002/ntls.10021,IE
21585,11742,COc1ccc(cc1)[C@@H](C=C)[C@H](N)C(=O)OC(C)(C)C,57.8,0.8,0.01,10.1002/adsc.201801148,IE
21586,11743,COc1ccc(cc1)[C@@H](C=C)[C@H](N)C(=O)OC(C)(C)C,57.8,0.8,0.01,10.1002/adsc.201801148,IE
21599,11750,CC(=C)[C@H]1CN(CC(=C(C1)O[Si](c2ccccc2)(c3ccccc3)C(C)(C)C)c4ccc(F)cc4)[S](=O)(=O)c5ccc(C)cc5,50.14,0.5,0.02,10.1002/anie.201609608,IE
21600,11750,CC(=C)[C@@H]1CN(CC(=C(C1)O[Si](c2ccccc2)(c3ccccc3)C(C)(C)C)c4ccc(F)cc4)[S](=O)(=O)c5ccc(C)cc5,55.25,0.5,0.02,10.1002/anie.201609608,IE
